E119｜英伟达与芯片史上的大赢家们：凡是伟大的，都是叛逆的
时长：00:48:53
来源：网易云音乐电台节目 · 硅谷101 · E119｜英伟达与芯片史上的大赢家们：凡是伟大的，都是叛逆的

[00:00:02] 欢迎收听硅谷101这是一档分享当下最新鲜的技术知识与思想的科技播客我是红军
[00:03:58] 所以从那时候起我就开始产生了向公众介绍芯片是怎么样诞生怎么样发展到今天的这样的一个想法所以就写了这本《芯片简史》当时其实制裁华为是一个开始像现在其实这一轮我们经常聊到的生成式人工智能它其实芯片跟芯片所提供的算力也是在这一轮竞争中非常关键的因素
[00:04:23] 刚刚其实在片头的时候我有提到英伟达这家公司首先可能我们需要给听众们做一个科普为什么大家都在抢英伟达的A100或者H100就是为什么GPU这么重要你可不可以先跟大家讲一下
[00:04:40] 好的GPU的全称叫做图形处理单元为什么这种听起来像是做显示处理的芯片反而能成为人工智能这么抢手的这样一种工具我给大家简单科普一下
[00:04:53] 早先我们在电脑上手机上用的都叫CPU就是中央处理单元这种处理器它是一种通用处理器它可以处理任何的任务包括音频的视频的文本的都可以处理它就像一个大管家一样它除了可以做计算还可以做控制
[00:05:14] 所以它的功能是一种全能型的但是这种全能型也有它自己的缺陷就是它的计算能力并不是特别强如果我们把CPU的能力分成100份的话它可能只有四分之一的能力用来做计算剩下75%是用来做控制用来做缓存而GPU刚好相反它就是专门用来做计算它可能90%的能力都用来做计算剩下5%用来做控制还有5%用来做缓存
[00:05:43] 所以它们的侧重点非常不一样那在人工智能方面需要非常大规模的这种计算反而它不需要特别去控制某一个设备像我们控制一个耳机或者控制一个话筒那它就是专门用来做计算的而且它的计算还有一个特点就是它是并行处理的
[00:06:05] 为了理解并行处理我们可以先看一下CPUCPU它是一个串行处理CPU的想法要追踪到二战结束后英国的著名数学家图林他提出一个叫做图林基的一个想法在这个想法的基础上人们建立了冯诺依曼的CPU的架构然后诞生了第一台后面的电子计算机那在这个基础上不断地发展有了个人电脑等等是这样一路走过来的
[00:06:30] 所以它就一路延续着图灵提出的图灵机的架构这种图灵机是采用串形的结构它想象有一条无限长的纸带在这条纸带上把算法一个一个的放上去去执行它当然有它的优点就是它任何可以写成算法的程序都可以放在这条纸带上去执行但是它的缺点就是它必须先执行完一个任务再执行下一个就导致它的效率比较低下
[00:06:55] 那在以前呢在个人电脑啊这些上面表现的不是很突出因为它计算量不是很大但是像在人工智能这样非常庞大的计算数据的情况下那CPU就不如GPU在这种并行计算更加的高效那并行计算的一个特点就是它是起源于这个GPU为什么起源于GPU呢因为GPU我们以前是用来处理一个屏幕上的一个图像一些点阵每个点阵呢
[00:07:24] 都需要并行的去处理这样才更加高效比如说打游戏要同时显示一些什么画面这个战斗的场景等等要并行的显示对它的实行要求很高所以就因为它在1999年提出了这种GPU的概念它可以同时的并行的处理每一个像素点上它的颜色亮度甚至包括后来3D的这样的一些计算
[00:07:49] 所以它的侧重点放在这个并行的计算上面它的效率会更高那你觉得现在英伟达的GPU它有互成合吗因为我们看到像AMD他们现在也在去推这种训练大模型的芯片叫做MI300X在这几家芯片公司中现在英伟达它的核心的互成合是什么呢
[00:08:17] 它最大的护城河就是您刚才提到它这个CUDA的这一套开发系统那为什么这套开发系统这么重要呢它相当于给自己建立一套生态系统就像苹果它有自己的开发的系统对用户的这种生态LS的这种生态那英里达的这条CUDA的系统主要是面向开发者它的GPU芯片刚才说过本来是用来处理一个点阵一个点阵的这种图像
[00:08:43] 它本来是不适合这种通用的编程的就是像是生成式人工智能是处理文本的对吧那它一旦有了这个CUDA它就可以用我们程序员非常熟悉的编程语言去对GPU进行编程操作就是程序员不需要改变自己的编程习惯它是可以使用自己熟悉的语言这套系统就可以去控制处理这个GPU
[00:09:08] 所以呢用户一旦习惯了这个GPU的编程那他就没有动力再去学习其他公司比方说AMD或者其他公司的这一套编程系统因为软件是不一样的对使得这些公司呢AMD公司呢不得不去适配英伟达的CUDA他们编写了适配的一些软件可以把它转到英伟达的CUDA上面但这也有一个问题就是他们总会比英伟达要慢一排因为英伟达没推出一代新的CUDA
[00:09:37] 他的公司跟进至少要隔上一段时间才能跟进所以尽管其他公司也在猛烈地追赶但是仍然要比英伟达要慢一排所以这就是英伟达它最大的一个糊称和就是它这一套库达的开发系统对 所以我们看上去它其实是一个硬件公司
[00:09:57] 但是归根究底它的核心护城河是它的这套软件跟大家在上面建立的一套习惯对 是的那有了这些软件和习惯用户就可以粘在上面CUDA大概是在2007年的时候开发的吗对 是的在2007年左右提出来他们当时是为什么要去开发这套系统为什么只有英伟达想到了而其他的公司没有想到呢
[00:10:24] 因为英伟达的创始人黄仁勋跟学术界保持了一些联系学术界当时他跟一些教授去合作发现学术界做一些科学计算的时候用到了英伟达的GPU的显卡他当时也觉得挺新奇的当时很多公司都其实在已经推出了GPU英伟达想做出一些差异化的产品就想往学术方面去发展
[00:10:50] 如果每一个高校每一个实验室都买了很多的GPU那对英伟达市场是一个巨大的开拓作用所以他们就想推向学术科学市场所以就想到了让更好的让这些科研人员去使用英伟达的GPU所以就提出了这样一个CUDA的开发平台可以让这些学生研究生更容易的去学习使用GPU
[00:11:13] 如果他们毕业之后已经养成这个习惯了去找工作的时候还会继续使用这个CUDA那对于英伟达是一件好事因为他们会劝说新公司继续的购买英伟达的GPU所以是基于这样的一个想法提出了这个CUDA
[00:11:29] 所以我理解当时英伟达把这些高效的实验室作为它的客户之一因为我们说英伟达它其实是一个做GPU起家的公司嘛你也在解释概念的时候提到了GPU最开始是用于游戏的所以其实英伟达在刚开始做芯片的时候它是一个非常小的芯片厂商它也是只针对游戏厂商卖GPU的一个芯片厂商当时主流的市场还是CPU的市场
[00:11:58] 从游戏公司到你说的07年高校也是他的客户对吧他现在的一个主要客户会是谁呢
[00:12:07] 现在的客户就非常广泛了那一方面是一种生成式的人工智能这些大公司谷歌呀百度呀华为等等另一方面的高效积蓄是它的一个很大的客户因为现在有一个说法叫做AI for science就是用AI的方式去研究科研研究这些物质里面的规律研究比方说蛋白质的结构因为光靠人的计算的话它是需要非常大的计算量是忙不过来的
[00:12:35] 所以也需要AI的帮忙很多高校里面会继续的购买GPU用作AI的计算另外一个就是行业里面的一些应用比方说像医疗领域需要去识别一些比方说X光的图片是不是有肿瘤或者是有癌症的这些也需要一些GPU来提供后台的支持
[00:12:59] 那另外一个就是行业里面包括天气预报像华为的盘古3.0它是针对天气预报做了一些优化就专门针对特定行业的应用
[00:13:09] 当然还有其他的就包括自动驾驶呀等等很多细分的这些领域每个领域其实都包括当时比特币火的时候挖矿啊 是的对 因为达芝亚公司特别陡他们是压中了好多轮的这种技术的热潮对吧啊 是的自动驾驶压中了一轮区块链压中了一轮然后这一轮生成式AI又压中了一轮其实每一波都踩得很准对
[00:13:34] 那我很好奇,当英伟达他看到了他的GPU上面需要有CUDA这一套软件系统的时候,那像AMD这样的公司,他们有看到这个方向吗?他们有在软件上去发力吗?
[00:13:49] 应该也是有的只不过呢他总会比库达慢半拍但是他一开始并没有抓住这个机会是等到库达展现出对科研人员的这种吸引力之后才开始跟上去的其实库达提出前几年是没有太多的市场的除了在科研领域有一些订单之外在其他地方是没有很大的市场所以在那几年的英里达黄远勋承受了很大的压力
[00:14:17] 因为他们投入了很大的人力物力资金去研发这个库达但是在好几年之内都没有获得很大的回报所以在那几年的其他公司是没有意识到这个问题的那真正等到库达火了以后才登进但那时候已经晚了对因为您写芯片简史的时候也在研究整个芯片的历史
[00:14:39] 就从您对这个历史的研究来看你觉得当时黄仁勋他在这么大的压力之下去坚持研发他的动力是什么或者他的判断是什么呢确实从这个历史上看英伟达和其他的芯片的一些发明的先驱都有这些相似之处他们都是在这项发明刚刚推出来的时候遇到很大压力的时候他们坚持了下来
[00:15:04] 这方面例子有很多比方说MOS经济馆的发明者是在贝尔实验室现在MOS经济馆占全世界经济馆99%的份额但在当时这个项目组被公司裁撤了它的发明人阿塔拉在两年之后也离职了
[00:15:20] 還包括集成電路的發明芯片在先童半導體也遭遇了很不公平或者是很大的一個挫折這個項目組也是受到了公司副總裁的指責指責他們浪費了100萬但是什麼收穫都沒有所以這個拉斯特就辭職了他們去自己開創了一家小公司然後就在矽谷就在先童的周邊不遠的地方成立一家新的公司
[00:15:46] 当然这个也不能说完全是一件坏事就是这个促进了硅谷整个其他企业不断地从现通跳槽出来然后在现通周围成立了很多小公司逐渐地发展起来然后这些公司又有了AMD就是现通的前员工来创办的那包括黄仁勋也是在AMD毕业之后他也在AMD工作了好几年之后才创立自己的公司的
[00:16:13] 所以硅谷它本身就有这样一个氛围就是很多的这种研发人员或者创业者他们有这种叛逆的想法他们愿意去坚持自己的想法
[00:16:23] 黄元勋本人也是很有自己的想法或者说很有自己的目标他的目标是在30岁之前成立自己的公司然后在30岁那年他真的是创办了自己的英伟大公司尽管是一家非常小的公司这可能是这些创业者或者是前期的这些发明人的一个共性吧他们愿意去坚持自己的想法
[00:16:46] 那在您的观察中就是你觉得黄仁勋在英伟达整个崛起过程中的几次重大决策是什么其实我们刚刚有讲到2007年对库达系统的研发很重要然后他在最开始也是不被看好的还有过其他这样的时刻吗那早期他准备出来创业的时候在20多岁结婚的时候跟他妻子定下一个誓言就是30岁准备创业
[00:17:13] 然后他就找了他的老板谈这件事情老板说要不这样吧我给你加薪你还是继续留在我们公司黄仁勋就说服他的老板老板一开始也不看好说实际上没有显卡这个市场当时只有CPU没有GPU黄仁勋还是说服了自己的老板然后老板就给他介绍了一个投资者然后他又拿到了一笔钱
[00:17:39] 当时他去创业也问了自己的母亲他母亲也是非常的不同意希望他能够做医疗方面的工作因为他觉得这个比较保险后来因为他创办公司之后也是遇到了几次挫折吧其中一次就是跟日本的世家公司合作
[00:17:58] 合作了几年之后但是微软入局了微软提出了一套自己的标准因为微软的实力很多大公司其他的公司都加入了这个标准但是那时候黄仁勋还是坚持想要做自己的标准或者是开发系统结果就输得很惨
[00:18:17] 微软的显示规范这个是指什么你的那个标准是指什么有一个DirectX这样的一个规范因为后来微软又推出了它的Xbox这样的一个游戏机英伟达就抓住这个机会赢得了微软的订单所以这让英伟达一下子进入了一个快车道而且我记得他们当时公司账上好像都快没钱了是的
[00:18:42] 之后他现在就赶上了游戏的这一班车有了一个快速的发展再往后呢就是他推出了古打之后一开始也没有很好的一个应用然后到了2013年这个人工智能的一个算法突然被提了出来著名的人工智能的科学家辛顿提出了一个深度学习的一个算法
[00:19:04] 我们知道人工智能它是三个方面互相影响的一个是算法一个是算力然后还有一个是数据这三方面是缺一不可的早期的话CPU是非常弱的没有什么算力有了GPU算力提升起来了已经不是一个主要矛盾了但是算法一直是一个平静就没有一个很好的人工智能算法
[00:19:28] 所以人工智能我们现在说有三起三落每一次都是在算法上遇到瓶颈
[00:19:34] 那到了2013年著名的人工智能科学家辛顿和他的学生提出了一种新的深度学习的算法叫做AlexNet这种算法突然把图像识别的效率提高到一个很高的水平比之前要高好几倍的一个水平那之前的这种算法可能连识别一些猫啊狗啊这些简单的都识别不出来那这样的一个新的AlexNet算法就突然让人工智能看到了新的希望
[00:20:01] 这时候呢新顿这个团队就要验证一下他们开始选的是CPU这种芯片发现需要非常非常多块的CPU才能验证这样一个效果但是如果GPU的话它需要的量可能只需要CPU的十分之一甚至百分之一就可以很好的完成这种算法的训练
[00:20:20] 所以业界一下子发现了GPU居然有这么大的好处对于人工智能的训练生成有这么大的好处所以英伟达也抓住这个卖点根据人工智能又推出了新的产品这样一下子又继续抓住了这个市场
[00:20:35] 经过这十年从13年到23年这十年就是一个英伟大快速发展的这段时期感觉跟整个人工智能的快速发展也是相辅相成的对人工智能就是在这十年有了算法的突破深度学习不断地加深层的深度让我们可以做出越来越多的事情
[00:20:57] 你刚刚其实有提到它除了在学术自动驾驶挖矿领域的应用它还有医疗对吧总体听下来我感觉现在GPU的应用是非常广泛的因为现在英伟达它是在芯片领域第一家市值过万亿的公司就你是否认为现在GPU已经是一个比CPU更大的市场呢
[00:21:21] 对从现在看是但是他们的市场面对的销售对象不一样因为GPU的销售对象更多的是这种大公司像谷歌华为这种要做人工智能的训练的这种大公司普通的消费者当然也会买一部分GPU主要是用来打游戏的一些玩家但是不会占到特别大的一个比例
[00:21:45] 对于CPU来说它的市场更多的是普通的消费者像个人电脑像平板电脑等等用到的主要还是CPU
[00:21:55] 从量上来看当然是GPU因为它是客户很大那一下子可能下好几万块的订单每块可能好几万人民币一个订单可能就好几亿它体量非常的大但是它面对的消费人群不一样所以市场其实也不太好算对吧是的他们最近几年呢是由于消费的电子比较疲软像大家换手机的频率也变得越来越慢
[00:22:23] 个人电脑迭代的周期越来越长所以呢CPU的销量就在下降或者是增长的没那么快了但GPU呢由于有声称是人工智能然后大家都想搭这班车所以呢就是有一个非常飞速的一个增长OK其实我有一个问题是我不知道你有没有研究过按照现有的大家对GPU的这种采购加上人工智能的训练我不知道它对能源是不是一个特别大的消耗
[00:22:52] 我之前看马斯克在推特上说说未来两年我们可能会从缺硅演变成缺电我还挺好奇这么大的GPU的采购量跟这么多大公司去训练它会有多耗电是的我记得在挖矿的时候就其实有这种说法就是挖矿机占用了很大的电量当时的话很多的这个电都是从煤炭来火力发电的
[00:23:19] 污染环境造成很大的压力那其实生成人工智能也是类似的它也是同样用到很多的GPU去做这种大规模的计算这种耗电量跟GPU本身的结构有关你看这个GPU通常外面都有一个很大的风扇它不像CPU就是一个单独的芯片那GPU外面通常都是需要庞大的一个风扇给它散热这个是摩尔定律来决定的
[00:23:45] 摩尔丁里面有个非常重要的限制就是PPA我们业界简称叫PPA分别代表performance 性能还有一个P是power 功耗另外一个A就是它的面积
[00:23:56] 就这三者是互相折中的关系像一个三角形那你把一个提升之后就要牺牲另外两个那现在GPU呢是提升它的性能就是performance但是牺牲了它的功耗牺牲了它的面积面积就意味着成本意味着价格也很高所以呢这是固定的这样的一个限制它只能去折中
[00:24:18] 这是受当前的这种规晶体管的一个限制只能去为了让它有更好的性能让它更快的速度只能用提高功耗的方式付出这样的一个代价
[00:24:31] 那未来的话像刚才您提到这个推特的马斯克对吧他之所以这么说呢是他寄希望于未来有更好的芯片更好的半导体器件它的功耗更低性能跟GPU差不多有可能会替代掉现有的这种GPU当然这个是一个比较长的一个过程未来可能三五年还没法做到但是现在很多的实验室在大学里面
[00:24:55] 实际上是在研究这些新型的低功耗的计算的器件和芯片包括一个就是神经形态芯片它是模拟人脑的这种工作方式因为人脑的功耗是非常低的整个人脑的功耗只有20到30瓦就是一个电灯泡的这样一个功耗但是它能计算一个GPU可能需要花费1000瓦的才能计算的这样一个能力
[00:25:19] 那这种模拟人脑的方式是通过脉冲的方式因为人脑是通过神经的脉冲来发送信号处理数据的那这种脉冲是非常窄的所以在这个窄的脉冲下它需要消耗的功耗就非常低所以有种叫做脉冲神经网络的这样的人工智能的一种算法和对应的芯片结构这种正在研究当中
[00:25:43] 那这种芯片使用的不是传统的硅这种材料而是使用的其他的氧化物的半导体材料它可以做到功耗更低并且它的尺寸跟现在硅制作的硬电罐尺寸是接近的甚至比硅的那个尺寸还要小一些也是几个纳米
[00:25:59] 所以这可能是未来的一个新的趋势也包括其他类型的现在芯片正在研究的一些晶体管包括用碳纳米管做的晶体管也是现在甚至都做出了对应的CPU能做一些加件乘除控制已经做出来了只不过它还没办大规模的量产如果大规模量产的话成本会比较高一些可能会比现在的CPU GPU还要再贵一些
[00:26:27] 所以我们现在面临的其实就是我们在原理上已经实现了这些更低功耗的芯片只不过它的价格性能还没法跟GPU或者CPU去对标那未来如果是像马斯克说的那样未来几年之内会耗尽我们很多的电量的话那这种新型的低功耗的芯片就有可能会登上舞台
[00:26:51] 确实是有一些这样的数据我看到有前几年发表的一篇学术论文认为在2030年我们的微电子设备的耗电量将达到全世界耗电量的四分之一有四分之一的电量都会消耗在我们这些电子设备包括机房里面这个是哪一年的论文应该是18或者19年的论文那他还没有估算到这轮人工智能爆发式发展的计算量对
[00:27:22] 我们刚刚其实是聊了GPU然后聊了英伟达那现在你怎么看整个中国芯片行业的发展就你觉得现在中国公司他们如果要去做芯片创业的话为什么那么难
[00:27:37] 一方面的芯片它本身是一个综合性的学科它需要工程师或者是科研员具备多方面的一个知识结构和能力像在1970年英特尔的法金发明第一颗CPU的时候是他自己设计CPU的结构然后设计里面的电路自己绘制版图然后把它加工出来自己测试他还需要知道背后制造方面的一些知识他甚至提出了一种新的制造的一个方法
[00:28:06] 所以那时候对于工程师的要求是非常高的那随着工具的进步尤其是设计工具的进步EDA我们把它叫做EDA就是在电脑上去设计芯片的一种软件随着这个软件有了进步工程师可以不需要知道怎么制造的他只需要把这个想法想出来就可以了那使得这个工程师的效率得到提高并且有更多的人可以进入到这个领域
[00:28:31] 再到后来芯片设计变得越来越容易了因为有了EDA的工具也有了相应的一些IP就是一些模板电路的一些模板很多公司就可以自研芯片了包括很多中国的公司最近几年也开始进入到自研芯片的领域很多我们现在知道的拼头哥前几年的OPPO更早的华为比亚迪等等都进入到自研芯片的领域自研芯片就变得可能了
[00:28:59] 但是我们也面临着一些挑战就是这些EDA的工具并不是中国的公司研发出来的一方面要交纳很高昂的使用的费用license的费用另外一方面可能会担心将来某天不能使用了被禁止使用了这是我们面临的一方面的一个担心
[00:29:19] 那另外一方面的担心是在制造方面我们芯片设计出来但是我们现在国内的最先进的加工厂只能制造14纳米的工艺如果是需要制造更先进的7纳米5纳米就需要交给台积电或者交给其他的制造公司来制造但这个不是我们可控的所以这也是另外一个担心的问题
[00:29:42] 所以呢在这两方面我们要更多的取得一些突破这样才能解决掉我们的后顾之忧对我记得之前我们聊天的时候你还提到了专利也是一个很难绕过去的问题
[00:29:56] 对 是的包括很多芯片我举一个例子FPGA芯片可能现在我们消费者很难直接接触到这个芯片但这个芯片也是用于训练人工智能的一个方面要开发人工智能方面如果我买不到英伟达的我可以先用FPGA暂时替代一下如果这是中端或者低端的这些那这种芯片呢是1985年美国的Cilinx发明的在当时呢也是一家小公司但是它呢就申请了很多专利
[00:30:26] 所以后续的公司再想加入这个领域的话就不得不绕开Silinx的这些专利
[00:30:33] 有些专利可能过期了像1980几年的专利可能过期但是它后续不断地提出新的专利所以就构建了一条像之前英伟达那种护城河只不过这个护城河是由专利构成的这样新兴的公司虽然它也可能自己独立地产生这样的想法但发现这个想法已经被前面的公司包括像Silinx已经申请了专利了就没法使用了除非你去交纳比较高昂的专利使用费这样的话也对我们自己
[00:31:02] 进一步的发展更好的IPGA芯片造成了很大的困难其实IPGA这个技术并不是特别的难难就在它前面有一些专利方面的一些壁垒吧对我们只能绕过去那这样绕过去就要付出更大的代价专利费大概会有多高啊
[00:31:23] 看你的使用量就是它看你的授权的使用量对于这个芯片公司来说它一方面人力成本是非常高的大雇佣工程是很高的另外一方面就是它还要付给加工的费用所以它尽量是能省一点就省一点那你觉得整个中国现在的芯片创业公司他们未来的机会在哪里呢
[00:31:45] 我们从历史上看就是很多的新兴的公司它要想打败这些比较老牌的公司其中一个策略就是从中低端发起进攻不是直接去做那个最难的公用最强的芯片而是先占领低端的市场
[00:32:03] 其中一个例子就是CPU我们现在讲的CPU有很多高端的CPU用在服务器上但是英特尔在1971年发明第一颗CPU的时候它功能很简单就只能做加减乘除这四则运算更复杂的一点它就做不了因为它只有2300个晶体管当时英特尔主流业务并不是CPU因为它刚刚做出来主流业务是做存储器的做DRAM存储器的
[00:32:29] 当时公司就引起一个很大的争论就是我们到底要不要投钱去做CPU在我们现在看来这个想法好像不可思议的现在CPU是英特尔的最主流最核心的业务当时为什么有这样的一个争论就是因为他们觉得一旦投钱进到CPUCPU的市场份额是非常小的因为当时只有IBM这种生产巨型机过去那种巨型机的公司才会使用CPU
[00:32:55] 但是英特尔的CP就只能做加演乘除根本无法满足IBM这种需求另外一个市场就是计算器他们评估了一下计算器全世界可能每年只能卖2万套芯片也是非常小的一个容量
[00:33:09] 所以逼迫着他们不得不去寻找一些其他的应用然后他们就找到各种各样的比方说去控制电梯用CPU去控制交通灯这是非常简单的这些应用不断地在这些低端领域因为它进不了这个IBM这种高端的巨型机的应用不断地去扩展到了1976年出现了个人电脑然后就用在了最早的像苹果那个Lisa电脑还有其他的公司推出类似的个人电脑上
[00:33:37] 到了80年81年IBM推出了IBM这种PC兼容机运载低端的PC兼容机上是个人电脑在当时人们看来个人电脑是很low的一个产品不是我们今天认为的所以它就从低端上开始发起进攻所以我觉得我们的一些芯片的公司也可以采用这种策略先从中低端的开始进入比方说包括人工智能我们不一定非要一下子就做大模型的这种
[00:34:05] 除了一些大公司很有资金有钱可以买得起这么贵的显卡其他的公司可以先从这种行业应用就是专门针对某一个行业的它不需要那么大规模的计算像说医疗或者是其他方面的一些应用
[00:34:20] 然后逐渐占领市场尽量的去推出自己开发的平台威斯库达这种培养消费者的习惯当有了消费者的习惯之后它再逐渐的扩展到其他更多的领域这样可能是一个比较稳妥的策略
[00:34:36] 对简单来说就是先在细分市场里站住脚跟先赚钱培养行业生态然后我们有了钱有了生态有了人才我们在一个合适的市场时期再去占领高端的市场一步一步来你觉得这个追赶大概要多长时间
[00:34:54] 这个追赶可能不是线性的一种方式如果回顾历史的话很多情况下就是你在十几年甚至很长的时间内就没有什么进展就是处于一种活着的状态或者是能够生存下来然后突然可能传统的技术遇到了一个瓶颈它就发展不下去了或者是功耗特别高或者是遇到一个什么瓶颈新兴的技术突然发现有这个优势它一下子就起来了
[00:35:20] 就比方说我们现在经常用的一种叫CMOS的技术它是1963年发明的是到1983年才突然火起来那在这20年中它就处于一种默默无闻的一种活着的一种状态为什么到1983年突然起来就是因为那时候的一颗芯片上的晶元数量已经达到了20万个晶体管它的功耗变得非常的大
[00:35:42] 如果不去解决这个问题这个芯片就烧起来就冒烟了人们突然发现CMOS的这种紧急管有很低的功耗它有这样的一个特点一下子它就用起来现在已经是95%以上的芯片都用的CMOS的这种技术
[00:35:59] 所以未来可能会有什么样的突破它可能真的不是一个线性的就可能是将来遇到某一个瓶颈比方说GPU现在很大的功耗但它还能够维持下去它不断地去弥补它去修正它到某一天实在没法弥补掉这么大的功耗的时候那些低功耗的刚才提到的神经性的芯片或者是其他低功耗的晶体管就可以登上历史舞台
[00:36:25] 曾经有一个计算机专家说过一句话他说过叫做预测未来最好的方式就是把它发明出来就是你把它做出来然后去打败它打败这种传统的技术讲得非常好我也很好奇在你写作《芯片简史》的这本书的过程中你觉得是什么在引领整个芯片行业的创新
[00:36:53] 对这是一个非常好的问题在最后一章我简单的提了一下其实有两个趋势在引领芯片的创新一个就是底层的推动力就是来自于基础科学的向上蓬勃发展的力量推动着半导体技术半导体技术又推动着芯片的发展这是一个自下而上就像树的树根这些基础科学就像树根一样有了它们的突破才可以吸收更多的养分供给上面的树枝和树叶
[00:37:22] 对于芯片来说它的树根就是量子物理学有了在1900年量子物理学的突破我们才有可能明白为什么半导体能够很容易做零一的切换有时候导通有时候可以截止然后我们就可以做出晶体管然后再继承成芯片这是一方面就是基础科学的突破
[00:37:42] 另外一方面就是应用的拉动我们可以把应用比喻成一片一片的树叶就在树冠上的这些树叶
[00:37:53] 这些树叶需要光合作用需要蒸腾水汽蒸发出水分之后就需要下面的树根树干去继续给它供应更多的水分那这个就是一个拉动的作用包括我们的人工智能无人驾驶等等都属于这种可以拉动底层的芯片发展的这一类应用当我们看到这种希望看到生成是人工智能无人驾驶的这种希望之后我们就对芯片提出更多的需求
[00:38:21] 我需要算力更大的芯片需要功耗更低的芯片那就会促使人们去研发这种性能更好的功耗更低的带宽更宽的这些芯片所以这是第二方面的力量在驱动着芯片的发展
[00:38:35] OK你在写你的书的过程中最打动你的一个部分是什么呢对我觉得其实有很多让我想一个跟我们现在比较相关的就是一个叫做进步式光刻机的发明它是一个华裔科学家发明的它叫林本坚
[00:38:55] 他发明的这种静默式光刻机可以让我们的光刻技术从之前的45纳米一直推进到7纳米我们知道现在7纳米也是比较厉害的一种芯片的工艺的节点为什么他会发明这样的一个静默式光刻机是因为当时遇到了一个非常严重的困难
[00:39:17] 林本坚他是一位在越南出生的中国的华侨之后去美国留学就开始读博士学位他博士学位学的就是光学毕业之后就进入到IBM研究光刻因为他的光学方面的知识刚好可以用在光刻上面他小的时候其实就非常喜欢这种照相机在六七十年代还不是现在的数码拍照是胶卷的拍照
[00:39:42] 他发现其实胶卷的拍照跟光刻的原理是类似的我们知道光刻是把眼膜板上的图案就电路的走线的图案转移到硅片上面来变成硅片里面的电路的走线胶卷把它洗出照片也是一样的就是把胶卷上的图案把它转移到我们的相纸上面来
[00:40:03] 我们是通过化学显影的方式像纸泡在这个溶液里面把图案显示出来它是通过光照的方式透过相机然后转移到胶片然后再把胶片转移到像纸上光刻也是类似的我们把这样的一个图片从研磨板研磨板就是电路的版图转移到硅片上来通过光照的方式它发现有这样的一个相似性所以它就决定做光刻
[00:40:30] 到了一九八几年代他就发明了一种叫做DUV的光刻机就是深紫外的光刻机
[00:40:38] 我们知道光刻的原理就是通过光来刻实上面的光刻胶然后形成图案光的波长决定了我加工尺寸的大小早期用的是紫外线因为紫外线的波长最短大概只有400纳米但是当我们的晶体罐尺寸越来越小甚至小于400纳米的时候400纳米的紫外光就不够用了所以就研发出365纳米的紫外光再到80年代365纳米也不够用了
